id,PovertyRate
Bromley,0.15
Richmond upon Thames,0.15
Bexley,0.16
City of London,0.16
Sutton,0.16
Havering,0.17
Kingston upon Thames,0.18
Merton,0.20
Croydon,0.22
Hillingdon,0.22
Wandsworth,0.22
Barnet,0.23
Harrow,0.23
Hounslow,0.25
Redbridge,0.25
Greenwich,0.26
Lewisham,0.26
Enfield,0.27
Barking and Dagenham,0.28
Kensington and Chelsea,0.28
Waltham Forest,0.28
Ealing,0.29
Lambeth,0.30
Westminster,0.30
Hammersmith and Fulham,0.31
Southwark,0.31
Camden,0.32
Brent,0.33
Haringey,0.34
Islington,0.34
Hackney,0.36
Newham,0.37
Tower Hamlets,0.39
